No,Area,Region,trap_no,lat,lon,1.11~1.24,1.25~2.7,2.8~2.21,2.22~3.7,3.8~3.21,3.22~4.4,4.5~4.18,4.19~5.2,5.3~5.16,5.17~5.30,5.31~6.13,6.14~6.27,total
1,Gangwon,Cheorwon-gun,1,38.171,127.3969444,0,0,0,0,0,0,0,0,164,1086,247,60,1557
2,Gangwon,Cheorwon-gun,2,38.1705,127.3978611,0,0,0,0,0,0,0,0,162,1547,414,91,2214
3,Gangwon,Cheorwon-gun,3,38.17013889,127.3987222,0,0,0,0,0,0,0,0,215,703,350,114,1382
4,Gangwon,Donghae-si,1,37.50836111,129.1212222,0,0,0,0,2,4,16,1453,1032,105,4,5,2621
5,Gangwon,Donghae-si,2,37.50819444,129.1206667,0,0,0,0,3,7,7,797,586,34,4,0,1438
6,Gangwon,Donghae-si,3,37.50783333,129.1204444,0,0,0,0,4,8,7,624,475,29,4,0,1151
7,Gangwon,Goseong-gun,1,38.30677778,128.5431944,0,0,0,0,0,0,0,44,313,296,140,3,796
8,Gangwon,Goseong-gun,2,38.30636111,128.5426944,0,0,0,0,0,0,0,40,185,115,103,1,444
9,Gangwon,Goseong-gun,3,38.30563889,128.5430556,0,0,0,0,0,0,0,19,64,18,9,0,110
10,Gangwon,Hongcheon-gun,1,37.73130556,128.1113056,0,0,0,0,0,0,0,0,402,940,257,33,1632
11,Gangwon,Hongcheon-gun,2,37.73169444,128.1104167,0,0,0,0,0,0,0,0,463,1205,150,25,1843
12,Gangwon,Hongcheon-gun,3,37.7325,128.1098056,0,0,0,0,0,0,0,0,498,1767,323,47,2635
13,Gangwon,Pyeongchang-gun,1,37.54802778,128.4500278,0,0,0,0,0,0,1,0,211,1370,231,77,1890
14,Gangwon,Pyeongchang-gun,2,37.54747222,128.4501667,0,0,0,0,0,0,1,0,212,1150,330,20,1713
15,Gangwon,Pyeongchang-gun,3,37.54691667,128.4503056,0,0,0,0,0,0,0,1,126,996,209,23,1355
16,Gangwon,Yanggu-gun,1,38.10461111,127.9991389,0,0,0,0,0,0,0,0,495,1954,206,25,2680
17,Gangwon,Yanggu-gun,2,38.10469444,127.9986944,0,0,0,0,0,0,0,0,356,2493,262,42,3153
18,Gangwon,Yanggu-gun,3,38.10413889,127.99775,0,0,0,0,0,0,0,0,584,2866,338,45,3833
19,Gangwon,Yangyang-gun,1,38.082,128.6733056,0,0,0,0,0,3,0,47,249,91,25,0,415
20,Gangwon,Yangyang-gun,2,38.08175,128.6728056,0,0,0,0,0,1,0,121,256,46,12,1,437
21,Gangwon,Yangyang-gun,3,38.08166667,128.6720278,0,0,0,0,0,2,1,77,222,32,5,0,339
22,Gangwon,Yeongwol-gun,1,37.21666667,128.4308611,0,0,0,0,0,0,0,0,329,407,83,1,820
23,Gangwon,Yeongwol-gun,2,37.21638889,128.4306944,0,0,0,0,0,0,0,0,320,289,81,5,695
24,Gangwon,Yeongwol-gun,3,37.21575,128.4302222,0,0,0,0,0,0,0,2,361,411,53,2,829
25,Gyeonggi,Anseong-si,1,37.04291667,127.1855556,0,0,0,0,0,0,0,100,146,211,13,0,470
26,Gyeonggi,Anseong-si,2,37.04252778,127.1861667,0,0,0,0,0,0,0,78,62,74,1,0,215
27,Gyeonggi,Anseong-si,3,37.04263889,127.1866389,0,0,0,0,0,0,0,36,7,34,0,0,77
28,Gyeonggi,Gapyeong-gun,1,37.7945,127.4746667,0,0,0,0,0,0,0,0,42,136,3,2,183
29,Gyeonggi,Gapyeong-gun,2,37.79472222,127.4750833,0,0,0,0,0,0,0,0,68,115,25,1,209
30,Gyeonggi,Gapyeong-gun,3,37.795,127.4746667,0,0,0,0,0,0,0,0,51,42,6,1,100
31,Gyeonggi,Gimpo-si,1,37.63625,126.7084167,0,0,0,0,0,153,11,158,421,146,53,5,947
32,Gyeonggi,Gimpo-si,2,37.63677778,126.7085,0,0,0,0,0,28,3,268,449,242,26,3,1019
33,Gyeonggi,Gimpo-si,3,37.63694444,126.7075833,0,0,0,0,0,122,18,117,325,162,7,0,751
34,Gyeonggi,Hanam-si,1,37.50347222,127.2383056,0,0,0,0,0,0,0,28,68,174,11,1,282
35,Gyeonggi,Hanam-si,2,37.50347222,127.2389444,0,0,0,0,0,0,0,18,13,82,3,1,117
36,Gyeonggi,Hanam-si,3,37.50336111,127.2386667,0,0,0,0,0,0,0,22,28,177,31,1,259
37,Gyeonggi,Osan-si,1,37.17372222,127.0165,0,0,0,0,0,0,0,15,0,1,0,0,16
38,Gyeonggi,Osan-si,2,37.17372222,127.0167778,0,0,0,0,0,0,4,14,2,2,0,0,22
39,Gyeonggi,Osan-si,3,37.17377778,127.0169167,0,0,0,0,0,0,1,13,3,2,0,0,19
40,Gyeonggi,Siheung-si,1,37.38088889,126.8248611,0,0,0,0,0,0,0,3,0,1,0,0,4
