"Year","Area","Region","trap_no","lon","lat","Total_Abundance","First_Occurrence_5pct","Peak_Occurrence_Mode"
"2022","Chungcheong","Cheonan-si",2,127.27125,36.86130556,43,14.7250947017685,19.0022715980623
"2022","Chungcheong","Cheongju-si",1,127.49375,36.57919444,113,13.9040632244637,16.0038910644081
"2022","Chungcheong","Cheongju-si",3,127.4925556,36.57958333,72,14.4966479106305,15.5680297730945
"2022","Chungcheong","Cheongyang-gun",1,126.8303611,36.42363889,186,15.7482082606939,18.0362216989825
"2022","Chungcheong","Cheongyang-gun",2,126.8308056,36.42413889,339,16.1385532264153,17.734588221055
"2022","Chungcheong","Chungju-si",1,127.97,37.057,853,15.7049528743001,17.0284479886127
"2022","Chungcheong","Chungju-si",3,127.9710833,37.05625,812,15.6003264537841,17.3260376783093
"2022","Chungcheong","Dangjin-si",2,126.55475,37.035,77,12.2321391383465,13.7925245084486
"2022","Chungcheong","Danyang-gun",1,128.3535278,36.99805556,112,15.5197014711091,20.4753959499312
"2022","Chungcheong","Eumseong-gun",1,127.6426667,36.97486111,2702,15.4548967991177,17.6789739290149
"2022","Chungcheong","Eumseong-gun",3,127.6430278,36.9755,2334,15.623353618572,16.9454455574792
"2022","Chungcheong","Goesan-gun",2,127.8139722,36.73194444,747,15.6162847803918,17.540013446908
"2022","Chungcheong","Jecheon-si",1,128.1816389,37.01091667,941,15.8351744551637,17.2478728633209
"2022","Chungcheong","Jecheon-si",2,128.1813611,37.01163889,836,15.4930264287036,16.7950568837907
"2022","Chungcheong","Jecheon-si",3,128.1810278,37.01222222,615,15.6041998955668,16.8601244653904
"2022","Chungcheong","Jincheon-gun",1,127.4155833,36.87258333,177,15.4416722615005,16.7270992488094
"2022","Chungcheong","Jincheon-gun",2,127.4155833,36.87236111,181,15.5701468057718,16.8771537123492
"2022","Chungcheong","Jincheon-gun",3,127.4155278,36.87258333,229,15.5648516335768,16.7942078609429
"2022","Chungcheong","Okcheon-gun",2,127.7148611,36.2965,268,15.918018331918,17.739216490547
"2022","Chungcheong","Sejong-si",1,127.2330278,36.55286111,167,13.7816782357859,16.5553966449403
"2022","Chungcheong","Seocheon-gun",2,126.6108056,36.10086111,4722,12.1325074140092,12.890567671145
"2022","Chungcheong","Seocheon-gun",3,126.6128611,36.10175,4037,12.1427991810313,12.8367884086135
"2022","Chungcheong","Taean-gun",1,126.1473611,36.79038889,10173,12.2625092693481,13.0233791903846
"2022","Chungcheong","Taean-gun",2,126.1470556,36.79044444,8904,12.2440756967565,13.0039370738561
"2022","Chungcheong","Taean-gun",3,126.1475278,36.78877778,7490,12.2780376457945,13.0602356217364
"2022","Chungcheong","Yeongdong-gun",1,127.7382778,36.12875,244,16.0110838402057,17.9953086225382
"2022","Chungcheong","Yesan-gun",3,126.8398889,36.66380556,61,15.4251014078032,16.7013831432299
"2022","Gangwon","Chuncheon-si",2,127.7680556,37.89888889,317,16.0822747198747,17.6436774871655
"2022","Gangwon","Chuncheon-si",3,127.7676389,37.89891667,593,16.2109153065566,17.7601155751027
"2022","Gangwon","Donghae-si",1,129.1212222,37.50836111,653,13.5310582054031,15.3439465498039
"2022","Gangwon","Donghae-si",2,129.1206667,37.50819444,1059,14.1215554630723,16.12497698754
"2022","Gangwon","Donghae-si",3,129.1204444,37.50783333,1326,14.3584052103408,16.1565095233311
"2022","Gangwon","Gangneung-si",1,129.0446111,37.63130556,577,13.7556033113211,17.4381140743773
"2022","Gangwon","Gangneung-si",2,129.0451667,37.63077778,1091,14.7988654384286,17.1084342942085
"2022","Gangwon","Goseong-gun",1,128.5431944,38.30677778,312,16.3824693845944,17.8080215157357
"2022","Gangwon","Hoengseong-gun",2,128.1033333,37.51555556,1548,16.9282413045936,19.95979208467
"2022","Gangwon","Inje-gun",1,128.2725,38.00675,806,18.0505186872135,19.2147328006198
"2022","Gangwon","Pyeongchang-gun",1,128.4500278,37.54802778,1592,18.584332846628,20.1304793426198
"2022","Gangwon","Pyeongchang-gun",3,128.4503056,37.54691667,2906,18.6176758550143,20.1433085647096
"2022","Gangwon","Samcheok-si",1,129.3255,37.27730556,425,15.7911893526242,16.5345172791345
"2022","Gangwon","Samcheok-si",2,129.3253056,37.27777778,921,15.8662459600896,17.4105036135036
"2022","Gangwon","Samcheok-si",3,129.3251389,37.27691667,394,15.8018584164061,17.141174210632
"2022","Gangwon","Sokcho-si",3,128.5527778,38.20116667,587,16.3716130370854,17.8948562023659
"2022","Gangwon","Yanggu-gun",2,127.9986944,38.10469444,1548,17.9794017272101,19.0741059673225
"2022","Gangwon","Yangyang-gun",2,128.6728056,38.08175,142,15.4446253470336,17.8518125697707
"2022","Gangwon","Yangyang-gun",3,128.6720278,38.08166667,161,15.8798249209331,17.9813478249576
"2022","Gyeongbuk","Andong-si",2,128.7249167,36.61991667,26,15.8099232269841,17.1017140255589
"2022","Gyeongbuk","Buk-gu, Daegu",1,128.5897222,35.93294444,943,13.4098863945297,14.6521642703115
"2022","Gyeongbuk","Cheongdo-gun",1,128.7611667,35.64258333,230,13.2037743753556,14.4397201574964
"2022","Gyeongbuk","Cheongdo-gun",2,128.7595278,35.64380556,333,12.6224502831036,14.7249959157307
"2022","Gyeongbuk","Chilgok-gun",2,128.4719167,36.048,138,13.8870345627868,16.1946271822196
"2022","Gyeongbuk","Dalseong-gun, Daegu",3,128.4765833,35.78533333,719,13.2658574287382,14.4380070220331
"2022","Gyeongbuk","Gimcheon-si",1,128.0979722,35.98972222,1480,16.4052211989307,17.9977241242672
"2022","Gyeongbuk","Gimcheon-si",2,128.0958333,35.98886111,2665,16.5915704618768,18.1891662924328
"2022","Gyeongbuk","Gimcheon-si",3,128.098,35.98975,2883,16.7846885523333,18.2350870257571
"2022","Gyeongbuk","Goryeong-gun",1,128.3204444,35.76433333,993,14.0270948420827,14.6575573522951
"2022","Gyeongbuk","Goryeong-gun",3,128.3311667,35.76077778,2105,13.6174425348483,14.9547504161353
"2022","Gyeongbuk","Gumi-si",3,128.4507778,36.16583333,348,12.8366585106474,14.7126345868391
"2022","Gyeongbuk","Gunwi-gun, Daegu",2,128.7270278,36.12522222,631,15.8447353848086,16.9910670895973
"2022","Gyeongbuk","Gyeongsan-si",1,128.7913889,35.92236111,436,13.6408642103415,14.7140283386173
"2022","Gyeongbuk","Gyeongsan-si",3,128.7756667,35.93305556,1064,15.7661752665135,17.1550875006593
"2022","Gyeongbuk","Mungyeong-si",2,128.1271111,36.65830556,99,16.2388291863058,18.0368592893415
"2022","Gyeongbuk","Sangju-si",2,128.1445833,36.37769444,93,13.5063192378228,14.6685998058252
"2022","Gyeongbuk","Seongju-gun",2,128.2251667,35.90919444,429,13.732324551772,14.891419626065
"2022","Gyeongbuk","Seongju-gun",3,128.2297222,35.91177778,1409,14.0168785429945,15.8698098388402
"2022","Gyeongbuk","Uiseong-gun",2,128.6787778,36.29711111,834,15.466893004353,16.3394046311585
"2022","Gyeongbuk","Yeongcheon-si",1,128.8162222,36.00266667,129,13.6794885227871,19.4985797107137
"2022","Gyeongbuk","Yeongcheon-si",2,128.8155556,36.00161111,163,13.7882532395153,15.2503439082843
"2022","Gyeonggi","Anyang-si",1,126.9229167,37.41780556,469,11.6278988658577,18.3459838391619
"2022","Gyeonggi","Anyang-si",2,126.9230556,37.41769444,515,10.0516579010904,16.6640126188464
"2022","Gyeonggi","Ganghwa-gun, Incheon",3,126.4496111,37.59386111,75,15.0298117348461,15.9052357488919
"2022","Gyeonggi","Gapyeong-gun",1,127.4746667,37.7945,919,16.8269536694071,18.6502332648518
"2022","Gyeonggi","Gapyeong-gun",3,127.4746667,37.795,792,16.8324602900711,18.7222156708439
"2022","Gyeonggi","Goyang-si",1,126.8825833,37.66586111,959,15.5017185476264,16.828840957162
"2022","Gyeonggi","Goyang-si",2,126.8821111,37.66594444,656,15.4383716100342,16.5844753463589
"2022","Gyeonggi","Goyang-si",3,126.8818611,37.66636111,533,15.4879734608826,16.6697835427593
"2022","Gyeonggi","Hanam-si",2,127.2389444,37.50347222,1284,16.3617166535557,18.3242527447128
"2022","Gyeonggi","Icheon-si",1,127.4572222,37.18613889,34,15.6086241755351,17.5517841279859
"2022","Gyeonggi","Icheon-si",3,127.4578611,37.18613889,57,15.398679171946,17.0815100307824
"2022","Gyeonggi","Ongjin-gun, Incheon",1,126.5285278,37.24436111,152,11.4787344411897,14.1162980440583
"2022","Gyeonggi","Ongjin-gun, Incheon",3,126.5323611,37.24383333,318,11.82943218058,13.242925525588
"2022","Gyeonggi","Osan-si",2,127.0167778,37.17372222,385,16.0127104579278,18.9458924209109
"2022","Gyeonggi","Paju-si",1,126.8901111,37.73572222,245,15.3869692209904,16.3926906969856
"2022","Gyeonggi","Paju-si",2,126.8898333,37.73586111,360,15.6589831308217,16.8687437282773
"2022","Gyeonggi","Pocheon-si",2,127.2351389,37.93258333,322,16.1104494297699,17.323828178197
"2022","Gyeonggi","Pyeongtaek-si",1,126.87775,36.99122222,389,15.7571535398015,17.263249701762
"2022","Gyeonggi","Pyeongtaek-si",2,126.8774167,36.99002778,435,15.8600740238947,18.3798442646813
"2022","Gyeonggi","Pyeongtaek-si",3,126.87725,36.99225,222,15.254219234744,16.8034144589376
"2022","Gyeonggi","Seongnam-si",1,127.0985556,37.41911111,2137,15.3378746770711,16.3119475472463
"2022","Gyeonggi","Seongnam-si",2,127.0991111,37.41919444,3157,15.4918946486198,16.6070056028858
"2022","Gyeonggi","Uiwang-si",1,127.0008056,37.35725,804,15.5277484220546,16.8489150793473
"2022","Gyeonggi","Uiwang-si",2,127.0004722,37.35716667,1042,15.788232259984,17.3126092932962
"2022","Gyeonggi","Uiwang-si",3,127.0003889,37.35719444,600,15.9250355838297,17.6497548286793
"2022","Gyeonggi","Yangju-si",2,127.0353056,37.80658333,314,15.8295446669915,16.8389836647123
